Код товара;Артикул;Бренд;Коллекция;Установка;Ширина;Высота;Глубина;Материал;Форма;Цвет;Миксер;Стандарт подводки;Режим струи;Диаметр лейки;Термостат;размер верхнего душа;Вес;Режим верхнего душа
204347;27450000;Hansgrohe;Croma;На потолок;160;62;160;Латунь;Круглая;Хром;Нет;01.фев;1;160;Нет;160;0.885;1
204298;26466400;Hansgrohe;Raindance;На стену;243;167;511;Латунь;Круглая;Хром/белый;Нет;01.фев;2;243;Нет;243;3.226;2
202250;202250;Aquanet;Classic;На стену;150;145;150;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;150;empty;empty
196363;27437400;Hansgrohe;PuraVida;На стену;391;83;517;Латунь;Квадратная;Хром/белый;Нет;01.фев;1;empty;Нет;391;7.645;1
204388;27376000;Hansgrohe;Raindance;На стену;360;157;485;Латунь;Прямоугольная;Хром;Нет;01.фев;1;360;Нет;360;3.354;1
187708;ST00120;Mariani;empty;На стену / на потолок;200;18;200;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;empty;empty;Нет;200;01.апр;empty
143242;28404000;Hansgrohe;Raindance;Встраивается в потолок;610;65;610;Металл;Круглая;Хром;Нет;01.фев;3;610;Да;610;18.фев;3
204278;26443000;Hansgrohe;Raindance;На стену;153;empty;156;Металл;Нестандартная;Хром;Нет;01.фев;1;empty;Нет;153;0.89;1
165272;27492000;Hansgrohe;Raindance;На стену;300;147;609;Латунь;Круглая;Хром;Нет;01.фев;1;300;Нет;300;4.625;1
135175;27474000;Hansgrohe;Raindance;На стену;330;155;624;Латунь;Круглая;Хром;Нет;01.фев;1;240;Нет;330;2.896;1
204297;26466000;Hansgrohe;Raindance;На стену;243;167;511;Латунь;Круглая;Хром;Нет;01.фев;2;243;Нет;243;мар.24;2
204277;26442000;Hansgrohe;Raindance;На стену;153;empty;156;Латунь;Нестандартная;Хром;Нет;01.фев;1;empty;Нет;153;0.884;1
152950;28403000;Hansgrohe;Raindance;Встраивается в потолок;610;65;610;Латунь;Круглая;Хром;Нет;01.фев;3;610;Да;610;17.сен;3
144825;27476000;Hansgrohe;Raindance;На стену;180;142;331;Латунь;Круглая;Хром;Нет;01.фев;1;180;Нет;180;2.131;1
162968;27493000;Hansgrohe;Raindance;На стену;300;139;533;Латунь;Круглая;Хром;Нет;01.фев;1;300;Нет;300;3.901;1
204279;28433000;Hansgrohe;Raindance;На стену;214;160;445;Латунь;Прямоугольная;Хром;Нет;01.фев;2;empty;Нет;214;6.882;2
197143;27385400;Hansgrohe;Raindance;На стену;300;167;470;Латунь;Прямоугольная;Хром/белый;Нет;01.фев;2;empty;Нет;300;3.127;2
204291;26468000;Hansgrohe;Raindance;На стену;318;156;498;Латунь;Прямоугольная;Хром;Нет;01.фев;3;318;Нет;318;апр.62;3
132727;27471000;Hansgrohe;Raindance;На стену;180;142;331;Латунь;Круглая;Хром;Нет;01.фев;1;180;Нет;180;2.131;1
140293;27478000;Hansgrohe;Raindance;На потолок;180;170;180;Латунь;Круглая;Хром;Нет;01.фев;1;180;Нет;180;янв.63;1
204302;27384400;Hansgrohe;Raindance;На потолок;300;196;300;Латунь;Прямоугольная;Хром/белый;Нет;01.фев;2;empty;Нет;300;2.474;2
137568;27477000;Hansgrohe;Raindance;На потолок;240;170;240;Латунь;Круглая;Хром;Нет;01.фев;1;240;Нет;240;1.959;1
204299;26467000;Hansgrohe;Raindance;На потолок;243;196;243;Латунь;Круглая;Хром;Нет;01.фев;2;243;Нет;243;2.607;2
181208;26467400;Hansgrohe;Raindance;На потолок;243;196;243;Латунь;Круглая;Хром/белый;Нет;01.фев;2;243;Нет;243;2.555;2
204294;27378000;Hansgrohe;Raindance;На стену;301;167;540;Латунь;Круглая;Хром;Нет;01.фев;2;301;Нет;301;3.848;2
204303;27385000;Hansgrohe;Raindance;На стену;300;167;470;Латунь;Прямоугольная;Хром;Нет;01.фев;2;empty;Нет;300;3.111;2
204274;27381000;Hansgrohe;Raindance;На потолок;360;187;190;Латунь;Прямоугольная;Хром;Нет;01.фев;1;empty;Нет;360;2.737;1
204272;27380000;Hansgrohe;Raindance;На потолок;250;187;150;Латунь;Прямоугольная;Хром;Нет;01.фев;1;empty;Нет;250;фев.69;1
204295;27378400;Hansgrohe;Raindance;На стену;301;167;540;Латунь;Круглая;Хром/белый;Нет;01.фев;2;301;Нет;301;мар.79;2
143243;28420000;Hansgrohe;Raindance;На потолок;350;70;350;Латунь;Круглая;Хром;Нет;01.фев;1;350;Нет;350;7.076;1
204301;27384000;Hansgrohe;Raindance;На потолок;300;196;300;Латунь;Прямоугольная;Хром;Нет;01.фев;2;empty;Нет;300;2.558;2
204292;27337000;Hansgrohe;Raindance;На потолок;301;196;301;Латунь;Круглая;Хром;Нет;01.фев;2;301;Нет;301;3.218;2
204293;27337400;Hansgrohe;Raindance;На потолок;301;196;301;Латунь;Круглая;Хром/белый;Нет;01.фев;2;301;Нет;301;мар.17;2
204271;27370000;Hansgrohe;Raindance;На стену;250;158;330;Латунь;Прямоугольная;Хром;Нет;01.фев;1;empty;Нет;250;2.842;1
204275;27372000;Hansgrohe;Raindance;На стену;430;150;485;Латунь;Прямоугольная;Хром;Нет;01.фев;1;empty;Нет;430;7.288;1
204300;26468400;Hansgrohe;Raindance;На стену;318;156;498;Латунь;Прямоугольная;Хром/белый;Нет;01.фев;3;318;Нет;318;4.658;3
204273;27371000;Hansgrohe;Raindance;На стену;360;167;345;Латунь;Прямоугольная;Хром;Нет;01.фев;1;empty;Нет;360;3.016;1
204266;27424000;Hansgrohe;Raindance;На стену;270;170;524;Латунь;Круглая;Хром;Нет;01.фев;1;270;Нет;270;3.591;1
204276;27373000;Hansgrohe;Raindance;На стену;430;150;477;Латунь;Прямоугольная;Хром;Нет;01.фев;2;empty;Нет;430;авг.19;2
165509;27494000;Hansgrohe;Raindance;На потолок;300;130;300;Латунь;Круглая;Хром;Нет;01.фев;1;300;Нет;300;03.мар;1
181317;26464000;Hansgrohe;Croma;На потолок;220;59;220;Латунь;Круглая;Хром;Нет;01.фев;1;empty;Нет;220;янв.51;1
204377;27441000;Hansgrohe;Croma;На потолок;100;76;100;Латунь;Круглая;Хром;Нет;01.фев;4;100;Нет;100;0.375;4
204383;27390000;Hansgrohe;PuraVida;На потолок;391;160;261;Латунь;Прямоугольная;Хром;Нет;01.фев;1;empty;Нет;391;6;1
204384;27390400;Hansgrohe;PuraVida;На потолок;391;160;261;Латунь;Прямоугольная;Хром/белый;Нет;01.фев;1;empty;Нет;391;5.877;1
200349;B0025AA;Ideal Standard;Idealrain Cube;На потолок;300;52;300;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;1;empty;Нет;300;02.мар;1
186232;B0388MY;Ideal Standard;Idealrain Luxe;На потолок;300;49;300;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;1;empty;Нет;300;янв.62;1
200363;B9442AA;Ideal Standard;Idealrain Soft;На потолок;201;59;201;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;1;200;Нет;201;0.8;1
200353;B0383MY;Ideal Standard;Idealrain Luxe;На потолок;200;49;200;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;1;200;Нет;200;0.63;1
200364;B9443AA;Ideal Standard;Idealrain Soft;На потолок;300;59;300;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;1;300;Нет;300;янв.75;1
200356;B0386MY;Ideal Standard;Idealrain Luxe;На потолок;400;49;400;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;1;400;Нет;400;02.мар;1
200354;B0384MY;Ideal Standard;Idealrain Luxe;На потолок;250;49;250;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;1;250;Нет;250;янв.19;1
237800;LM8044C;Lemark;empty;На стену / на потолок;303;empty;152;Пластик;Нестандартная;Хром;empty;01.фев;empty;empty;Нет;empty;05.май;empty
237793;LM8036C;Lemark;empty;На стену / на потолок;250;empty;250;Пластик;Квадратная;Хром;empty;01.фев;empty;empty;Нет;250;0.8;empty
229796;BB-SLD1C-200-CRM;BelBagno;Arlie;На потолок;200;empty;200;Нержавеющая сталь;Квадратная;Хром;empty;01.фев;empty;empty;empty;200;3;empty
231520;X07P336;Ravak;Chrome;На стену / на потолок;300;44;300;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;300;2;empty
210459;6432505-00;Kludi;A-Qa;На стену / на потолок;250;empty;250;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;250;3;empty
202943;E13691-CP;Jacob Delafon;Katalyst;На потолок;355;65;355;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;355;4;empty
